currentratio	quickratio	cashratio	
交通运输	1.5517024352419666	1.323282922004781	70.90286702935289	
仪器仪表	3.7520375214517117	2.9810124964763722	121.28594740231831	
传媒娱乐	2.957087185138311	2.683812839862628	147.82979896741037	
供水供气	1.393980004787445	1.2161680036783218	70.91188301086426	
公路桥梁	1.9044222119781706	1.4440166652202606	106.21208869086371	
其它行业	4.188343345345432	3.5343616801420694	162.50591042605976	
农林牧渔	2.665835027396679	1.8362499850491683	67.9296720345815	
农药化肥	2.071261541201518	1.7379743884771297	93.58927158208994	
化工行业	2.529101399274973	2.0832090725848724	84.44795861611	
化纤行业	2.4102480149269105	1.5830879890918732	78.61266799926757	
医疗器械	3.0266387251115616	2.548390319751155	124.58334287520378	
印刷包装	2.3713300228118896	2.0642850145697595	68.49968466758727	
发电设备	2.370688527333932	1.8927229525613003	56.12555560127633	
商业百货	1.8679153900388832	1.4780703186579458	77.51979636098002	
塑料制品	2.7752874745056033	2.301096891053021	87.33712854981422	
家具行业	1.8971124775707722	1.5012874864041805	64.276437997818	
家电行业	1.8584212173115124	1.4878424297679553	58.590551578637324	
建筑建材	1.7080761458386073	1.2502590891989795	36.57006589391015	
开发区	1.8603900134563447	0.8913100183010101	58.23614087104797	
房地产	2.3749211862430735	0.9847728795671867	57.354560161041	
摩托车	1.8714600205421448	1.527079999446869	73.56398162841796	
有色金属	2.0638089522496976	1.4554716408697528	70.95576739311218	
服装鞋类	2.5800673353428745	1.7094898083988501	72.06705722030328	
机械行业	2.576087673382806	1.9909660143071208	65.21263996720901	
次新股	0.7348333348830541	0.6463666533430418	19.255499680836994	
水泥行业	1.5964458386103313	1.380325003216664	62.26891360680262	
汽车制造	2.3937068955571044	2.0345823630398394	109.02280992620132	
煤炭行业	1.829551324248314	1.524159457635235	62.175013065338135	
物资外贸	1.493720006942749	1.2387099996209145	46.65907444953918	
环保行业	1.6469962972181815	1.3351777880280107	57.1617701848348	
玻璃行业	1.5742842131539394	1.2736473820711438	47.72536900168971	
生物制药	3.4337355237650242	2.8237473826463284	127.16375156609635	
电力行业	1.1854661006038472	1.0848542514999033	59.70712847830885	
电器行业	2.7791363802823152	2.2122418186881325	73.3054815118963	
电子信息	3.3112987365131663	2.8753766932729947	131.68440696546588	
电子器件	3.2843177007371875	2.7697102116281482	96.40055774993637	
石油行业	3.071085738284247	2.707295222651391	167.8621248063587	
纺织机械	2.4541142668042863	1.9117285524095808	75.33121435982841	
纺织行业	2.522343627153299	2.00995640647717	92.99098734977918	
综合行业	3.3215275992607247	2.8374551257182814	180.408427304235	
船舶制造	2.1340571556772505	1.5209999978542328	79.26899930409023	
造纸行业	1.9475499826172988	1.5517958458513021	61.61732106407484	
酒店旅游	2.1070606193759223	1.8449272788835294	109.0671830032811	
酿酒行业	3.4153064604728454	2.210783867105361	114.37511868630686	
金融行业	1.3984599709510803	1.3906599640846253	91.68396034240723	
钢铁行业	1.1896117618855309	0.8320764723215618	32.99517436588512	
陶瓷行业	2.3070666591326394	1.8208666741847992	66.01463349660237	
飞机制造	2.0574571575437273	1.354814276099205	47.544557094573975	
食品行业	2.9659962863833815	2.350512972032582	140.59777213467493	
