code	name	debt_values
002625	光启技术	36.716
000416	民生控股	19.377
600381	青海春天	15.091
300333	兆日科技	14.604
300149	量子生物	12.867
000155	川化股份	12.247
002621	三垒股份	11.614
000722	湖南发展	11.605
300518	盛讯达	10.925
000633	合金投资	10.201
300122	智飞生物	9.639
600883	博闻科技	9.384
300613	富瀚微	8.782
600506	香梨股份	8.449
300346	南大光电	8.130
000813	德展健康	8.037
000831	五矿稀土	7.928
603189	网达软件	7.581
002581	未名医药	7.526
002038	双鹭药业	7.207
002575	群兴玩具	7.174
300628	亿联网络	7.142
000616	海航投资	6.993
300018	中元股份	6.807
300305	裕兴股份	6.723
600633	浙数文化	6.459
600527	江南高纤	6.304
603729	龙韵股份	6.182
300223	北京君正	5.887
300494	盛天网络	5.765
300235	方直科技	5.548
600615	丰华股份	5.387
002749	国光股份	5.374
000503	国新健康	5.318
002802	洪汇新材	5.038
300357	我武生物	4.917
300081	恒信东方	4.883
603696	安记食品	4.796
300377	赢时胜	4.768
300406	九强生物	4.764
300143	星普医科	4.746
600890	中房股份	4.727
300076	GQY视讯	4.486
000690	宝新能源	4.333
600171	上海贝岭	4.331
002320	海峡股份	4.303
000096	广聚能源	4.244
300530	达志科技	4.231
603040	新坐标	4.134
002776	柏堡龙	4.127
300446	乐凯新材	4.104
300609	汇纳科技	3.988
300202	聚龙股份	3.931
300352	北信源	3.907
300127	银河磁体	3.873
002690	美亚光电	3.843
603969	银龙股份	3.837
300519	新光药业	3.787
603036	如通股份	3.686
300590	移为通信	3.640
603360	百傲化学	3.632
002558	巨人网络	3.590
002669	康达新材	3.549
600658	电子城	3.509
000697	炼石有色	3.462
300191	潜能恒信	3.400
300268	佳沃股份	3.378
300485	赛升药业	3.362
603336	宏辉果蔬	3.259
000088	盐田港	3.200
002141	贤丰控股	3.168
603615	茶花股份	3.140
002469	三维工程	3.111
002530	金财互联	3.090
002724	海洋王	3.084
300620	光库科技	3.068
000544	中原环保	3.013
601890	亚星锚链	2.935
300561	汇金科技	2.864
002015	霞客环保	2.843
000762	西藏矿业	2.813
002667	鞍重股份	2.780
002380	科远股份	2.751
300394	天孚通信	2.743
603020	爱普股份	2.725
002546	新联电子	2.708
002379	宏创控股	2.696
300474	景嘉微	2.642
600106	重庆路桥	2.624
603819	神力股份	2.615
002494	华斯股份	2.613
002413	雷科防务	2.558
600568	中珠医疗	2.555
600620	天宸股份	2.549
300341	麦迪电气	2.534
002700	新疆浩源	2.531
300354	东华测试	2.527
300595	欧普康视	2.490
300183	东软载波	2.461
002585	双星新材	2.461
300443	金雷风电	2.443
600084	中葡股份	2.441
300379	东方通	2.422
300042	朗科科技	2.395
603688	石英股份	2.378
300154	瑞凌股份	2.376
600370	三房巷	2.326
300525	博思软件	2.325
002364	中恒电气	2.310
300403	地尔汉宇	2.309
600206	有研新材	2.284
002699	美盛文化	2.281
300399	京天利	2.255
603023	威帝股份	2.244
002224	三力士	2.236
300508	维宏股份	2.232
002632	道明光学	2.226
000882	华联股份	2.216
300408	三环集团	2.215
300099	精准信息	2.183
002609	捷顺科技	2.165
300578	会畅通讯	2.164
300656	民德电子	2.132
601028	玉龙股份	2.110
300054	鼎龙股份	2.109
000408	藏格控股	2.105
300630	普利制药	2.103
002007	华兰生物	2.101
300103	达刚路机	2.084
002303	美盈森	2.079
300107	建新股份	2.072
300458	全志科技	2.027
002468	申通快递	2.019
600982	宁波热电	2.011
600382	广东明珠	2.003
603398	邦宝益智	1.976
002517	恺英网络	1.960
002095	生意宝	1.949
002858	力盛赛车	1.948
603508	思维列控	1.946
300414	中光防雷	1.928
000802	北京文化	1.927
300200	高盟新材	1.910
603601	再升科技	1.901
002540	亚太科技	1.896
002691	冀凯股份	1.889
300522	世名科技	1.888
300583	赛托生物	1.875
002561	徐家汇	1.860
002410	广联达	1.860
000848	承德露露	1.855
002680	长生生物	1.854
300139	晓程科技	1.848
600270	外运发展	1.839
002478	常宝股份	1.826
300653	正海生物	1.825
002762	金发拉比	1.823
600722	金牛化工	1.822
600037	歌华有线	1.819
002023	海特高新	1.818
603037	凯众股份	1.785
002252	上海莱士	1.781
002235	安妮股份	1.779
603630	拉芳家化	1.776
