code	name	nprg	
000011	深物业A	52167.62890625	
002352	顺丰控股	22009.05859375	
000822	山东海化	15426.09375	
000023	深天地A	14473.337890625	
000517	荣安地产	13199.2431640625	
600291	西水股份	12999.236328125	
002648	卫星石化	11417.115234375	
600217	中再资环	9374.3203125	
000420	吉林化纤	8473.1328125	
300102	乾照光电	7598.8984375	
600133	东湖高新	7238.19677734375	
002034	旺能环境	6940.04638671875	
600293	三峡新材	6291.234375	
600282	南钢股份	4997.931640625	
600759	洲际油气	4787.5244140625	
600819	耀皮玻璃	4511.685546875	
600508	上海能源	3877.732421875	
002075	沙钢股份	3806.4951171875	
601225	陕西煤业	3805.269775390625	
601015	陕西黑猫	3798.639404296875	
600512	腾达建设	3691.558349609375	
600746	江苏索普	3669.64697265625	
601666	平煤股份	3604.62109375	
600971	恒源煤电	3174.20068359375	
000510	金路集团	3027.610107421875	
002601	龙蟒佰利	3002.91015625	
600325	华发股份	2833.248779296875	
300451	创业软件	2812.12255859375	
000759	中百集团	2784.691162109375	
600647	同达创业	2632.45458984375	
000725	京东方A	2443.314453125	
002624	完美世界	2275.072265625	
002235	安妮股份	2210.324462890625	
000985	大庆华科	2188.364990234375	
300346	南大光电	2181.726318359375	
000960	锡业股份	2040.490966796875	
601011	宝泰隆	2005.05029296875	
000778	新兴铸管	1948.3310546875	
002125	湘潭电化	1857.975830078125	
600328	兰太实业	1843.2586669921875	
600628	新世界	1834.3807373046875	
000425	徐工机械	1780.51904296875	
002120	韵达股份	1777.4361572265625	
300288	朗玛信息	1735.0545654296875	
600516	方大炭素	1582.70458984375	
601600	中国铝业	1579.241455078125	
600966	博汇纸业	1549.4398193359375	
600460	士兰微	1537.8310546875	
600758	红阳能源	1469.8936767578125	
000544	中原环保	1458.854248046875	
