code	name	roe	gross_profit_rate	
600306	商业城	71.97	17.303	
000717	韶钢松山	26.83	6.2247	
600133	东湖高新	26.81	11.6396	
002893	华通热力	25.83	32.2225	
600354	敦煌种业	23.4	25.0654	
600225	天津松江	22.84	24.9719	
600230	沧州大化	21.94	55.6318	
600338	西藏珠峰	20.28	70.414	
000036	华联控股	18.32	71.4131	
300288	朗玛信息	18.3	26.9264	
600291	西水股份	17.53	26.3018	
000505	京粮控股	17.44	26.3391	
000526	紫光学大	16.87	28.5887	
600633	浙数文化	16.31	43.5107	
600167	联美控股	15.4	60.232	
600303	曙光股份	13.75	16.5198	
600393	粤泰股份	13.13	44.0938	
002027	分众传媒	12.2	67.5988	
603165	荣晟环保	12.03	28.6107	
000822	山东海化	11.38	32.6209	
600309	万华化学	11.26	39.2307	
000011	深物业A	11.11	74.7318	
600581	八一钢铁	11.02	17.3052	
603387	基蛋生物	10.73	82.0964	
002714	牧原股份	10.72	40.4656	
600210	紫江企业	10.44	18.5337	
603757	大元泵业	9.86	31.0202	
600507	方大特钢	9.7	21.9723	
603617	君禾股份	9.7	27.5754	
600746	江苏索普	9.65	26.686	
002869	金溢科技	9.62	44.3706	
603933	睿能科技	9.6	20.84	
300136	信维通信	9.58	29.6922	
002304	洋河股份	9.52	61.2324	
300660	江苏雷利	9.52	24.7461	
603260	合盛硅业	9.3	36.2185	
600398	海澜之家	9.13	39.0612	
000820	神雾节能	9.08	65.2993	
000848	承德露露	9.06	47.6052	
603868	飞科电器	9.06	39.0814	
300658	延江股份	9.0	32.0871	
603730	岱美股份	8.97	37.8894	
600809	山西汾酒	8.94	71.4823	
002868	绿康生化	8.9	43.2471	
603288	海天味业	8.88	44.6862	
600689	上海三毛	8.78	8.0362	
300450	先导智能	8.76	44.937	
603113	金能科技	8.74	20.6095	
002555	三七互娱	8.73	66.885	
000517	荣安地产	8.66	22.1021	
002366	台海核电	8.31	58.5842	
300640	德艺文创	8.22	23.2496	
603233	大参林	8.15	38.7473	
002636	金安国纪	8.08	31.6335	
300571	平治信息	8.03	22.0899	
603357	设计总院	8.02	42.0908	
601238	广汽集团	7.99	23.823	
002648	卫星石化	7.95	28.3451	
000567	海德股份	7.86	100.0	
300681	英搏尔	7.84	33.5815	
603444	吉比特	7.82	92.4223	
600519	贵州茅台	7.74	91.1561	
002466	天齐锂业	7.73	68.7858	
600282	南钢股份	7.71	12.7107	
603369	今世缘	7.7	74.0081	
300504	天邑股份	7.64	26.7382	
002870	香山股份	7.57	34.0705	
600211	西藏药业	7.56	76.6099	
600816	安信信托	7.55	83.29899999999999	
002597	金禾实业	7.53	30.9835	
002032	苏泊尔	7.46	31.1429	
600566	济川药业	7.45	85.6011	
603659	璞泰来	7.39	36.5371	
600121	郑州煤电	7.38	38.5416	
002002	鸿达兴业	7.37	36.6471	
300668	杰恩设计	7.35	50.7405	
600719	大连热电	7.3	25.1271	
600729	重庆百货	7.26	16.551	
300693	盛弘股份	7.25	48.6985	
000997	新大陆	7.22	36.6646	
600688	上海石化	7.22	28.6241	
002867	周大生	7.18	33.9336	
603589	口子窖	7.15	72.7952	
300175	朗源股份	7.14	7.0944	
601225	陕西煤业	7.13	55.7249	
600726	华电能源	7.13	19.8577	
603197	保隆科技	7.13	32.9151	
300393	中来股份	7.11	23.403000000000002	
603129	春风动力	7.09	35.4789	
000858	五粮液	7.09	70.5344	
002833	弘亚数控	7.05	38.302	
002174	游族网络	7.04	44.5188	
603186	华正新材	6.99	23.3814	
600887	伊利股份	6.98	37.6399	
002489	浙江永强	6.98	30.5717	
000963	华东医药	6.95	28.1549	
002120	韵达股份	6.95	28.6693	
000651	格力电器	6.93	34.37	
300208	恒顺众昇	6.92	42.0264	
603198	迎驾贡酒	6.84	65.2773	
603225	新凤鸣	6.83	9.8301	
600409	三友化工	6.83	28.261	
601801	皖新传媒	6.81	24.2767	
000596	古井贡酒	6.81	77.6536	
002128	露天煤业	6.81	52.7635	
603788	宁波高发	6.77	32.8608	
000568	泸州老窖	6.75	70.2541	
000423	东阿阿胶	6.74	70.7954	
000333	美的集团	6.64	25.057	
600758	红阳能源	6.63	28.0332	
603985	恒润股份	6.62	37.4985	
600201	生物股份	6.62	79.6357	
300618	寒锐钴业	6.62	38.7274	
002215	诺普信	6.57	36.857	
002294	信立泰	6.56	79.431	
300641	正丹股份	6.54	22.6805	
603938	三孚股份	6.5	30.8754	
603595	东尼电子	6.49	40.1934	
603595	东尼电子	6.49	40.1934	
603919	金徽酒	6.47	63.2875	
002860	星帅尔	6.44	40.8305	
603096	新经典	6.43	44.4741	
603899	晨光文具	6.39	26.8217	
603680	今创集团	6.38	39.5128	
300072	三聚环保	6.38	15.6173	
600628	新世界	6.35	28.9186	
000915	山大华特	6.31	69.7126	
600415	小商品城	6.29	27.2485	
603496	恒为科技	6.27	56.5204	
000418	小天鹅A	6.23	25.6869	
300497	富祥股份	6.22	40.6728	
002326	永太科技	6.19	28.107	
300146	汤臣倍健	6.18	64.9402	
300695	兆丰股份	6.16	52.3794	
600276	恒瑞医药	6.14	86.79899999999999	
600690	青岛海尔	6.13	30.1012	
600298	安琪酵母	6.12	35.1647	
600436	片仔癀	6.08	44.7758	
603160	汇顶科技	6.02	47.3593	
002136	安纳达	5.96	21.6552	
603929	亚翔集成	5.93	13.0153	
000869	张裕A	5.91	66.4396	
600779	水井坊	5.9	77.3803	
000540	中天金融	5.88	39.9914	
002748	世龙实业	5.86	33.863	
000835	长城动漫	5.83	55.7586	
000895	双汇发展	5.82	16.8895	
603338	浙江鼎力	5.82	43.3853	
300415	伊之密	5.82	36.4009	
002763	汇洁股份	5.81	69.0738	
600612	老凤祥	5.8	7.2555	
002517	恺英网络	5.78	66.2552	
603883	老百姓	5.77	36.4504	
300446	乐凯新材	5.77	60.8095	
603277	银都股份	5.77	43.25899999999999	
603798	康普顿	5.76	35.1305	
600452	涪陵电力	5.75	17.0277	
002415	海康威视	5.73	42.7769	
002508	老板电器	5.71	58.9935	
002007	华兰生物	5.7	65.5578	
300652	雷迪克	5.69	32.9516	
600883	博闻科技	5.69	6.7443	
603568	伟明环保	5.68	67.7408	
000672	上峰水泥	5.66	28.7915	
600273	嘉化能源	5.66	28.6602	
603259	药明康德	5.66	43.6579	
600856	中天能源	5.65	21.8396	
600340	华夏幸福	5.64	62.3919	
000049	德赛电池	5.63	9.8254	
600115	东方航空	5.62	12.4389	
600995	文山电力	5.61	28.7799	
601318	中国平安	5.6	12.2943	
002468	申通快递	5.59	21.7807	
300628	亿联网络	5.56	64.296	
603896	寿仙谷	5.54	86.0054	
300357	我武生物	5.5	97.1591	
600180	瑞茂通	5.49	10.8084	
600197	伊力特	5.47	49.14	
601515	东风股份	5.47	43.4314	
600177	雅戈尔	5.47	46.7656	
603799	华友钴业	5.47	31.0485	
603908	牧高笛	5.46	34.7314	
002866	传艺科技	5.45	32.9146	
300707	威唐工业	5.44	44.0747	
002841	视源股份	5.41	21.7854	
002845	同兴达	5.41	11.7595	
601888	中国国旅	5.4	30.1395	
300687	赛意信息	5.39	28.0749	
600073	上海梅林	5.38	15.3514	
300484	蓝海华腾	5.36	45.6707	
002019	亿帆医药	5.35	55.9518	
002656	摩登大道	5.33	42.1575	
600183	生益科技	5.32	24.9733	
000018	神州长城	5.3	25.2075	
002110	三钢闽光	5.28	13.3747	
300015	爱尔眼科	5.26	44.0565	
603306	华懋科技	5.26	44.7865	
600477	杭萧钢构	5.23	33.7032	
002078	太阳纸业	5.23	23.4746	
603885	吉祥航空	5.22	21.3296	
600550	保变电气	5.22	20.3817	
000625	长安汽车	5.22	15.1513	
002065	东华软件	5.22	32.2785	
603926	铁流股份	5.21	30.6073	
002460	赣锋锂业	5.21	34.0426	
002873	新天药业	5.21	81.4327	
603331	百达精工	5.19	27.9093	
603816	顾家家居	5.18	37.8817	
603900	莱绅通灵	5.16	55.9408	
603986	兆易创新	5.16	29.7585	
603920	世运电路	5.13	25.7784	
603686	龙马环卫	5.1	28.2732	
601952	苏垦农发	5.09	23.6354	
000559	万向钱潮	5.09	21.2185	
300113	顺网科技	5.07	80.5338	
600867	通化东宝	5.07	75.7978	
603826	坤彩科技	5.05	47.3964	
603228	景旺电子	5.01	32.5626	
000921	海信科龙	5.0	19.1023	
600815	厦工股份	4.99	10.5739	
600763	通策医疗	4.97	44.0273	
300519	新光药业	4.97	62.6368	
601127	小康股份	4.97	20.8923	
300121	阳谷华泰	4.95	27.4707	
002773	康弘药业	4.94	90.0724	
603517	绝味食品	4.93	34.6666	
603188	亚邦股份	4.91	49.3821	
600567	山鹰纸业	4.91	25.3258	
